;Altusried;Betzigau;Buchenberg;Börwang;Dietmannsried;Durach;Görisried;Immenstadt;Isny;Kempten;Kimratshofen;Kreuzthal;Lauben;Martinszell;Missen;Moosbach;Nesselwang;Oy;Pfronten;Rettenberg;Rückholz;Unterthingau;Wald;Waltenhofen;Weitnau;Wengen;Wertach;Wiggensbach;Wildwoldsried;
Altusried;0;25;16;16;7;24;40;52;24;16;5;21;9;29;40;35;42;37;52;47;47;32;43;24;37;24;45;8;22;
Betzigau;25;0;19;10;19;6;21;36;38;9;27;31;16;18;35;17;24;19;34;29;29;14;25;13;30;27;27;17;4;
Buchenberg;16;19;0;20;21;15;31;40;19;10;18;12;17;13;30;21;33;28;43;33;38;33;44;8;25;8;36;8;23;
Börwang;16;10;20;0;9;16;24;46;39;10;21;32;13;26;43;27;34;29;44;39;35;16;27;21;38;28;37;18;6;
Dietmannsried;7;19;21;9;0;19;33;49;31;11;12;27;4;27;44;30;37;32;47;42;42;25;36;22;39;29;40;13;15;
Durach;24;6;15;16;19;0;16;30;34;8;26;27;15;12;29;11;18;13;28;23;23;20;31;7;24;23;21;16;10;
Görisried;40;21;31;24;33;16;0;35;50;24;42;43;31;28;45;22;14;9;24;28;12;8;19;23;40;39;17;32;18;
Immenstadt;52;36;40;46;49;30;35;0;28;38;47;44;45;27;12;19;28;26;38;7;33;43;41;32;21;39;18;46;40;
Isny;24;38;19;39;31;34;50;28;0;29;19;16;33;30;16;38;52;47;62;35;57;52;63;27;13;11;46;27;42;
Kempten;16;9;10;10;11;8;24;38;29;0;18;22;7;16;33;19;26;21;36;31;31;23;34;11;28;18;29;8;13;
Kimratshofen;5;27;18;21;12;26;42;47;19;18;0;16;14;31;35;37;44;39;54;49;49;37;48;26;32;26;47;10;27;
Kreuzthal;21;31;12;32;27;27;43;44;16;22;16;0;23;25;32;33;45;40;55;45;50;45;56;20;29;20;48;14;35;
Lauben;9;16;17;13;4;15;31;45;33;7;14;23;0;23;40;26;33;28;43;38;38;29;40;18;35;25;36;9;19;
Martinszell;29;18;13;26;27;12;28;27;30;16;31;25;23;0;17;8;26;21;36;20;31;32;39;5;17;21;24;21;22;
Missen;40;35;30;43;44;29;45;12;16;33;35;32;40;17;0;25;40;38;50;19;45;49;53;22;9;27;30;38;39;
Moosbach;35;17;21;27;30;11;22;19;38;19;37;33;26;8;25;0;18;13;28;12;23;30;31;13;25;29;16;27;21;
Nesselwang;42;24;33;34;37;18;14;28;52;26;44;45;33;26;40;18;0;5;10;21;5;22;13;25;42;41;10;34;28;
Oy;37;19;28;29;32;13;9;26;47;21;39;40;28;21;38;13;5;0;15;19;10;17;18;20;37;36;8;29;23;
Pfronten;52;34;43;44;47;28;24;38;62;36;54;55;43;36;50;28;10;15;0;31;15;32;23;35;52;51;20;44;38;
Rettenberg;47;29;33;39;42;23;28;7;35;31;49;45;38;20;19;12;21;19;31;0;26;36;34;25;28;41;11;39;33;
Rückholz;47;29;38;35;42;23;12;33;57;31;49;50;38;31;45;23;5;10;15;26;0;19;8;30;47;46;15;39;29;
Unterthingau;32;14;33;16;25;20;8;43;52;23;37;45;29;32;49;30;22;17;32;36;19;0;11;27;44;41;25;31;10;
Wald;43;25;44;27;36;31;19;41;63;34;48;56;40;39;53;31;13;18;23;34;8;11;0;38;55;52;23;42;21;
Waltenhofen;24;13;8;21;22;7;23;32;27;11;26;20;18;5;22;13;25;20;35;25;30;27;38;0;17;16;28;16;17;
Weitnau;37;30;25;38;39;24;40;21;13;28;32;29;35;17;9;25;42;37;52;28;47;44;55;17;0;24;39;33;34;
Wengen;24;27;8;28;29;23;39;39;11;18;26;20;25;21;27;29;41;36;51;41;46;41;52;16;24;0;44;16;31;
Wertach;45;27;36;37;40;21;17;18;46;29;47;48;36;24;30;16;10;8;20;11;15;25;23;28;39;44;0;37;31;
Wiggensbach;8;17;8;18;13;16;32;46;27;8;10;14;9;21;38;27;34;29;44;39;39;31;42;16;33;16;37;0;21;
Wildwoldsried;22;4;23;6;15;10;18;40;42;13;27;35;19;22;39;21;28;23;38;33;29;10;21;17;34;31;31;21;0;
